Business Name,Email,First Name,Last Name,Phone,Website,City,State,Rating,Reviews,Competitor Name,Competitor Reviews,Greeting,Subject Line,Opening Line,Pain Point,Competitor Intel,Solution Bullets,Guarantee,Urgency,CTA,PS Line
Asthetik Skin Medical Spa Mclean,info@asthetikskin.com,,,+15715625855,asthetikskin.com,McLean,VA,5.0,13,Anastasia Medical Aesthetics,325,Hi there,"Anastasia Medical Aesthetics is stealing your McLean customers (proof inside)","I just ran a competitive analysis for Medical Spa in McLean, and I need to show you something urgent about Anastasia Medical Aesthetics.","Anastasia Medical Aesthetics has 325 reviews to your 13. They're capturing customers who should be yours - people literally searching for ""Asthetik Skin Medical Spa Mclean"" end up choosing them instead.","I tracked where your lost customers go: Anastasia Medical Aesthetics gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area, and I've already had an initial call with Anastasia Medical Aesthetics. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how Anastasia Medical Aesthetics is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. Anastasia Medical Aesthetics gained 18 new reviews last month while you gained 0. At this rate, you'll never catch up without help."
Skinkure Spa,hello@skinkure.com,The,Medical,+17033565111,skinkure.com,McLean,VA,5.0,9,Anastasia Medical Aesthetics,325,Hi The,"Anastasia Medical Aesthetics is stealing your McLean customers (proof inside)","I just ran a competitive analysis for Healthcare in McLean, and I need to show you something urgent about Anastasia Medical Aesthetics.","Anastasia Medical Aesthetics has 325 reviews to your 9. They're capturing customers who should be yours - people literally searching for ""Skinkure Spa"" end up choosing them instead.","I tracked where your lost customers go: Anastasia Medical Aesthetics gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one business per area, and I've already had an initial call with Anastasia Medical Aesthetics. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how Anastasia Medical Aesthetics is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. With less than 10 reviews, you're not even eligible for Google's Local Pack (the map results at the top). Every day you wait = lost customers."
Elite Medical Spa,elitemedspallc@gmail.com,,,+17033563720,elitemedspallc.com,Vienna,VA,5.0,34,Milani MedSpa,369,Hi there,"Milani MedSpa is stealing your Vienna customers (proof inside)","I just ran a competitive analysis for Medical Spa in Vienna, and I need to show you something urgent about Milani MedSpa.","Milani MedSpa has 369 reviews to your 34. They're capturing customers who should be yours - people literally searching for ""Elite Medical Spa"" end up choosing them instead.","I tracked where your lost customers go: Milani MedSpa gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area, and I've already had an initial call with Milani MedSpa. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how Milani MedSpa is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. Milani MedSpa gained 16 new reviews last month while you gained 2. At this rate, you'll never catch up without help."
Flawless Beauty Medical Spa,zahramohseni@flawlessbeautymedicalspa.com,,,+12028085818,flawlessbeautymedicalspa.com,McLean,VA,4.8,19,Anastasia Medical Aesthetics,325,Hi there,"Anastasia Medical Aesthetics is stealing your McLean customers (proof inside)","I just ran a competitive analysis for Medical Spa in McLean, and I need to show you something urgent about Anastasia Medical Aesthetics.","Anastasia Medical Aesthetics has 325 reviews to your 19. They're capturing customers who should be yours - people literally searching for ""Flawless Beauty Medical Spa"" end up choosing them instead.","I tracked where your lost customers go: Anastasia Medical Aesthetics gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area, and I've already had an initial call with Anastasia Medical Aesthetics. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how Anastasia Medical Aesthetics is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. Anastasia Medical Aesthetics gained 23 new reviews last month while you gained 2. At this rate, you'll never catch up without help."
TruIdentity Spa by Jamyra,info@truidentityspa.com,Jamyra,Alexander,+17032860339,truidentityspa.com,McLean,VA,4.9,45,Anastasia Medical Aesthetics,325,Hi Jamyra,"Anastasia Medical Aesthetics is stealing your McLean customers (proof inside)","I just ran a competitive analysis for Healthcare in McLean, and I need to show you something urgent about Anastasia Medical Aesthetics.","Anastasia Medical Aesthetics has 325 reviews to your 45. They're capturing customers who should be yours - people literally searching for ""TruIdentity Spa by Jamyra"" end up choosing them instead.","I tracked where your lost customers go: Anastasia Medical Aesthetics gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one business per area, and I've already had an initial call with Anastasia Medical Aesthetics. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how Anastasia Medical Aesthetics is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. Anastasia Medical Aesthetics gained 14 new reviews last month while you gained 1. At this rate, you'll never catch up without help."
Sample Medical Spa,info@samplemedspa.com,,,,samplemedspa.com,Ashburn,VA,4.5,127,ARIA Medi Spa,716,Hi there,"ARIA Medi Spa is stealing your Ashburn customers (proof inside)","I just ran a competitive analysis for Medical Spa in Ashburn, and I need to show you something urgent about ARIA Medi Spa.","ARIA Medi Spa has 716 reviews to your 127. They're capturing customers who should be yours - people literally searching for ""Sample Medical Spa"" end up choosing them instead.","I tracked where your lost customers go: ARIA Medi Spa gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area, and I've already had an initial call with ARIA Medi Spa. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how ARIA Medi Spa is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. ARIA Medi Spa gained 15 new reviews last month while you gained 2. At this rate, you'll never catch up without help."
RxWellness Aesthetics & Anti-Aging - Ashburn,Request-medspa@rxwellness.com,,,,,Ashburn,VA,5.0,284,ARIA Medi Spa,716,Hi there,"ARIA Medi Spa is stealing your Ashburn customers (proof inside)","I just ran a competitive analysis for Aesthetics in Ashburn, and I need to show you something urgent about ARIA Medi Spa.","ARIA Medi Spa has 716 reviews to your 284. They're capturing customers who should be yours - people literally searching for ""RxWellness Aesthetics & Anti-Aging - Ashburn"" end up choosing them instead.","I tracked where your lost customers go: ARIA Medi Spa gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the missing website that's costing you 40% of potential customers
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Aesthetics per area, and I've already had an initial call with ARIA Medi Spa. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how ARIA Medi Spa is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. You don't have a website listed on Google. This alone is costing you 40% of potential customers who won't call without researching first. I can fix this in week 1."
SL MedGlow Clinic,slmedglow@gmail.com,Ahmad,Noori,+17039979979,slmedglow.com,Vienna,VA,5.0,56,Dermestetics,1141,Hi Ahmad,"Dermestetics is stealing your Vienna customers (proof inside)","I just ran a competitive analysis for Other in Vienna, and I need to show you something urgent about Dermestetics.","Dermestetics has 1141 reviews to your 56. They're capturing customers who should be yours - people literally searching for ""SL MedGlow Clinic"" end up choosing them instead.","I tracked where your lost customers go: Dermestetics gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one business per area, and I've already had an initial call with Dermestetics. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how Dermestetics is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. Dermestetics gained 29 new reviews last month while you gained 1. At this rate, you'll never catch up without help."
DermaGlow Medspa,info@dermaglowmed.com,Daleen,Elshaer,+17032883000,dermaglowmed.com,McLean,VA,4.5,128,Anastasia Medical Aesthetics,325,Hi Daleen,"Anastasia Medical Aesthetics is stealing your McLean customers (proof inside)","I just ran a competitive analysis for Medical Spa in McLean, and I need to show you something urgent about Anastasia Medical Aesthetics.","Anastasia Medical Aesthetics has 325 reviews to your 128. They're capturing customers who should be yours - people literally searching for ""DermaGlow Medspa"" end up choosing them instead.","I tracked where your lost customers go: Anastasia Medical Aesthetics gets 67% of them. They rank #1-3 for all your money keywords while you're buried on page 2. They're even running Google Ads targeting YOUR business name.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area, and I've already had an initial call with Anastasia Medical Aesthetics. I'd prefer to work with you, but I need to make a decision by Friday.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how Anastasia Medical Aesthetics is beating you and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. Anastasia Medical Aesthetics gained 27 new reviews last month while you gained 1. At this rate, you'll never catch up without help."
ARIA Medi Spa,yoga@ariamedispa.com,,,,,Ashburn,VA,4.7,716,,,Hi there,"Quick question about ARIA Medi Spa","I help Medical Spa in Ashburn dominate Google Maps, and I noticed ARIA Medi Spa has huge untapped potential.","Your online presence has critical gaps that are sending customers to competitors. I found at least 3 quick wins that could bring you 20+ new customers this month.","Your competitors are using Google's Local Service Ads to appear above you, even when patients search for your name specifically. Plus they have the Google Guarantee badge you're missing.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the missing website that's costing you 40% of potential customers
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I'm only taking 3 new clients in Northern Virginia this quarter, and I have 7 businesses interested. First come, first served.","Reply with ""INTERESTED"" and I'll send you a 10-minute video showing exactly how your competitors are stealing your customers and the specific steps to fix it. No sales call required - watch the video first, then decide if we should talk.","P.S. You don't have a website listed on Google. This alone is costing you 40% of potential customers who won't call without researching first. I can fix this in week 1."
